biome * ffffff ffffff ffffff
biome 213 ffffff 7fbd64 5fac3c
biome 214 ffffff eee980 9fa726
biome 215 ffffff 8aba6f 6da84b
biome 216 ffffff 61c64b 3bb61e
biome 217 ffffff 9cb96d 84a648
biome 218 ffffff 8dbb68 72a941
biome 219 ffffff b2b952 9fa726
biome 220 ffffff b2b952 9fa726
biome 221 ffffff ccb978 89a449
biome 222 ffffff 80b497 60a17b
biome 223 ffffff 83b68f 65a272
biome 224 ffffff 47cd33 1abf00
biome 225 ffffff 47cd33 1abf00
biome 226 ffffff 80b497 60a17b
biome 227 ffffff 88bb66 6ba940
biome 228 ffffff 53ca37 29bc05
biome 229 ffffff a6bb4e 91a922
biome 230 ffffff b6b957 a3a52d
biome 231 ffffff c6ff54 c6ff54
biome 232 ffffff c1b668 c1b668
biome 233 ffffff 4e8833 4e8833
biome 234 ffffff 80b497 60a17b
biome 235 ffffff 90b879 73a557
biome 236 ffffff 8eb971 71a74d
biome 237 ffffff 72c250 4eb224
biome 238 ffffff 86bb6f 68a94a
biome 239 ffffff b2b952 9fa726
biome 240 ffffff 507a32 59ae30
biome 241 ffffff 55c93f 2bbb0f
biome 242 ffffff eee980 9fa726
biome 243 ffffff 8dbb68 72a941
biome 255 ffffff 74bf26 74bf26
blocktype * * normal
blocktype 2 * grass
blocktype 8 * water
blocktype 9 * water
blocktype 18 * leaves
blocktype 18 1 opaque
blocktype 18 2 opaque
blocktype 31 * grass
blocktype 106 * foliage
blocktype 169 * grass
blocktype 1920 * grass
blocktype 1923 * opaque
blocktype 1924 * opaque
blocktype 1925 * foliage
blocktype 1926 * opaque
blocktype 1932 * foliage
blocktype 1962 * leaves
blocktype 2164 * leaves
blocktype 2177 * leaves
blocktype 2200 * opaque
blocktype 2204 * leaves
blocktype 3257 * opaque
blocktype 3258 * opaque
blocktype 3259 * leaves
blocktype 3272 * opaque
blocktype 3278 * opaque
block * * 00000000
block 1 * ff7d7d7d
block 2 * ff939393
block 3 * ff866043
block 3 2 ff5a3f1c
block 4 * ff7a7a7a
block 5 * ff9c7f4e
block 5 1 ff674d2e
block 5 2 ffc3b37b
block 5 3 ff9a6e4d
block 5 4 ffa95b33
block 5 5 ff3d2712
block 6 * 6438561c
block 6 0 6b476625
block 6 1 53333a21
block 6 2 6b769654
block 6 3 55305612
block 6 4 4b727314
block 6 8 6b476625
block 6 9 53333a21
block 6 10 6b769654
block 6 11 55305612
block 6 12 4b727314
block 7 * ff535353
block 8 * b22e43f4
block 9 * b22e43f4
block 10 * ffd1530e
block 11 * ffd1530e
block 12 * ffdbd3a0
block 12 1 ffa95821
block 13 * ff7e7c7a
block 14 * ff8f8b7c
block 15 * ff87827e
block 16 * ff737373
block 17 * ff665131
block 17 0 ff9a7d4d
block 17 1 ff685130
block 17 2 ffb8a679
block 17 3 ff997649
block 17 5 ff2d1c0c
block 17 6 ffcecec9
block 17 7 ff57431a
block 17 9 ff2d1c0c
block 17 10 ffcecec9
block 17 11 ff57431a
block 17 13 ff2d1c0c
block 17 14 ffcecec9
block 17 15 ff57431a
block 18 * ff878787
block 18 1 ff2c452c
block 18 2 ff43582d
block 18 3 ff918e86
block 18 5 ff747474
block 18 7 ff918e86
block 18 9 ff747474
block 18 11 ff918e86
block 18 13 ff747474
block 18 15 ff918e86
block 19 * ffb6b639
block 20 * 46daf0f4
block 21 * ff667086
block 22 * ff264389
block 23 * ff606060
block 23 1 ff565656
block 23 9 ff565656
block 24 * ffdad29e
block 25 * ff644332
block 26 * ff8e1616
block 26 8 ffaf7474
block 26 9 ffaf7474
block 26 10 ffaf7474
block 26 11 ffaf7474
block 26 12 ffaf7474
block 26 13 ffaf7474
block 26 14 ffaf7474
block 26 15 ffaf7474
block 27 * ab846c48
block 27 8 ab9a6846
block 27 9 ab9a6846
block 27 10 ab9a6846
block 27 11 ab9a6846
block 27 12 ab9a6846
block 27 13 ab9a6846
block 27 14 ab9a6846
block 27 15 ab9a6846
block 28 * 9b895c50
block 28 0 9b786559
block 28 1 9b786559
block 28 2 9b786559
block 28 3 9b786559
block 28 4 9b786559
block 28 5 9b786559
block 28 6 9b786559
block 28 7 9b786559
block 29 * ff6a665f
block 29 0 ff606060
block 29 1 ff8d9263
block 29 6 ff8d9263
block 29 7 ff8d9263
block 29 8 ff606060
block 29 9 ff606060
block 29 14 ff8d9263
block 29 15 ff8d9263
block 30 * 68dcdcdc
block 31 * 517b4f19
block 31 1 a2747474
block 31 2 4e787878
block 32 * 517b4f19
block 33 * ff6a665f
block 33 0 ff606060
block 33 1 ff998159
block 33 6 ff998159
block 33 7 ff998159
block 33 8 ff606060
block 33 9 ff606060
block 33 14 ff998159
block 33 15 ff998159
block 34 * ff6a665f
block 34 0 ff998159
block 34 1 ff998159
block 34 8 ff998159
block 34 9 ff8d9263
block 35 0 ffdddddd
block 35 1 ffdb7d3e
block 35 2 ffb350bc
block 35 3 ff6a8ac9
block 35 4 ffb1a627
block 35 5 ff41ae38
block 35 6 ffd08499
block 35 7 ff404040
block 35 8 ff9aa1a1
block 35 9 ff2e6e89
block 35 10 ff7e3db5
block 35 11 ff2e388d
block 35 12 ff4f321f
block 35 13 ff35461b
block 35 14 ff963430
block 35 15 ff191616
block 36 * ff998159
block 37 * 60ffff00
block 38 * 60ff0000
block 39 * 198a6953
block 40 * 21c33538
block 41 * fff9ec4e
block 42 * ffdbdbdb
block 43 * ff7a7a7a
block 43 0 ff9f9f9f
block 43 1 ffdad29e
block 43 2 ff9c7f4e
block 43 4 ff926356
block 43 6 ff2c161a
block 43 7 ffece9e2
block 43 8 ff9f9f9f
block 43 9 ffdad29e
block 43 10 ff9c7f4e
block 43 12 ff926356
block 43 14 ff2c161a
block 43 15 ffece9e2
block 44 * ff7a7a7a
block 44 0 ff9f9f9f
block 44 1 ffdad29e
block 44 2 ff9c7f4e
block 44 4 ff926356
block 44 6 ff2c161a
block 44 7 ffece9e2
block 44 8 ff9f9f9f
block 44 9 ffdad29e
block 44 10 ff9c7f4e
block 44 12 ff926356
block 44 14 ff2c161a
block 44 15 ffece9e2
block 45 * ff926356
block 46 * ff82412f
block 47 * ff9c7f4e
block 48 * ff677967
block 49 * ff14121d
block 50 * 13826a3a
block 51 * 90dda55f
block 52 * 9b1a2731
block 53 * ff9c7f4e
block 54 * ff9c7f4e
block 55 * 35efefef
block 56 * ff818c8f
block 57 * ff61dbd5
block 58 * ff6b472a
block 59 * a6566607
block 59 0 0500b312
block 59 1 1312ac0f
block 59 2 2b1c890b
block 59 3 4d258b08
block 59 4 672e8007
block 59 5 80427b07
block 59 6 8e507607
block 60 * ff4b280d
block 60 0 ff734b2d
block 61 * ff606060
block 62 * ff606060
block 63 * ff9c7f4e
block 64 * ff8d6b36
block 65 * 8f795f34
block 66 * 6b786b56
block 66 0 8f796c58
block 66 1 8f796c58
block 66 2 8f796c58
block 66 3 8f796c58
block 66 4 8f796c58
block 66 5 8f796c58
block 67 * ff7a7a7a
block 68 * ff9c7f4e
block 69 * 136a5940
block 70 * ff7d7d7d
block 71 * ffb4b4b4
block 72 * ff9c7f4e
block 73 * ff846b6b
block 74 * ff846b6b
block 75 * 135d3e26
block 76 * 19a74b29
block 77 * ff7d7d7d
block 78 * ffeffbfb
block 79 * 9f7dadff
block 80 * ffeffbfb
block 81 * c30d6318
block 82 * ff9ea4b0
block 83 * 8c94c065
block 84 * ff6b4937
block 85 * ff9c7f4e
block 86 * ffc07615
block 87 * ff6f3634
block 88 * ff544033
block 89 * ff8f7645
block 90 * be580bc0
block 91 * ffc07615
block 92 * c3e4cdce
block 93 * ff979393
block 94 * ffa09393
block 95 0 7bffffff
block 95 1 7bd87e32
block 95 2 7bb24bd8
block 95 3 7b6599d8
block 95 4 7be4e432
block 95 5 7b7ecb18
block 95 6 7bf17ea4
block 95 7 7b4b4b4b
block 95 8 7b999999
block 95 9 7b4b7e99
block 95 10 7b7e3eb2
block 95 11 7b324bb2
block 95 12 7b654b32
block 95 13 7b657e32
block 95 14 7b993232
block 95 15 7b181818
block 96 * db7e5d2d
block 97 * ff7d7d7d
block 97 1 ff7a7a7a
block 97 2 ff7a7a7a
block 97 3 ff72776a
block 97 4 ff767676
block 97 5 ff767676
block 98 * ff7a7a7a
block 98 1 ff72776a
block 98 2 ff767676
block 98 3 ff767676
block 99 * ff8d6a53
block 99 0 ffcaab78
block 99 10 ffcaab78
block 99 11 ffcaab78
block 99 12 ffcaab78
block 99 13 ffcaab78
block 99 15 ffcfccc2
block 100 * ffb62524
block 100 0 ffcaab78
block 100 10 ffcaab78
block 100 11 ffcaab78
block 100 12 ffcaab78
block 100 13 ffcaab78
block 100 15 ffcfccc2
block 101 * 736d6c6a
block 102 0 46cde1e5
block 102 1 46c26000
block 102 2 46aa2d9d
block 102 3 46789deb
block 102 4 46b8ae1e
block 102 5 463eb546
block 102 6 46b8799c
block 102 7 46444b4c
block 102 8 468b999b
block 102 9 46479c94
block 102 10 466d347a
block 102 11 46363c7a
block 102 12 466d3c1e
block 102 13 463c621b
block 102 14 469b2020
block 102 15 46191c1c
block 103 * ff979924
block 104 0 22009900
block 104 1 22139402
block 104 2 22268f04
block 104 3 22398a07
block 104 4 224c8509
block 104 5 2260810c
block 104 6 22737c0e
block 104 7 22867710
block 104 8 22007213
block 104 9 22136d15
block 104 10 22266918
block 104 11 2239641a
block 104 12 224c5f1c
block 104 13 22605a1f
block 104 14 22735521
block 104 15 22865124
block 105 0 22009900
block 105 1 22139402
block 105 2 22268f04
block 105 3 22398a07
block 105 4 224c8509
block 105 5 2260810c
block 105 6 22737c0e
block 105 7 22867710
block 105 8 22007213
block 105 9 22136d15
block 105 10 22266918
block 105 11 2239641a
block 105 12 224c5f1c
block 105 13 22605a1f
block 105 14 22735521
block 105 15 22865124
block 106 * 8a6f6f6f
block 107 * ff9c7f4e
block 108 * ff926356
block 109 * ff7a7a7a
block 110 * ff6f6369
block 111 * 930e3b16
block 112 * ff2c161a
block 113 * ff2c161a
block 114 * ff2c161a
block 115 * cc6f1211
block 115 0 2a6a0e1e
block 115 1 786c0f16
block 115 2 786c0f16
block 116 * ff67403b
block 117 * 767c6751
block 118 * 6f454545
block 119 * be580bc0
block 120 * ff597560
block 121 * ffdddfa5
block 122 * ff0c090f
block 123 * ff462b1a
block 124 * ff775937
block 125 * ff9c7f4e
block 125 1 ff674d2e
block 125 2 ffc3b37b
block 125 3 ff9a6e4d
block 125 4 ffa95b33
block 125 5 ff3d2712
block 125 9 ff674d2e
block 125 10 ffc3b37b
block 125 11 ff9a6e4d
block 125 12 ffa95b33
block 125 13 ff3d2712
block 126 * ff9c7f4e
block 126 1 ff674d2e
block 126 2 ffc3b37b
block 126 3 ff9a6e4d
block 126 4 ffa95b33
block 126 5 ff3d2712
block 126 9 ff674d2e
block 126 10 ffc3b37b
block 126 11 ff9a6e4d
block 126 12 ffa95b33
block 126 13 ff3d2712
block 127 * 8391501e
block 128 * ffdad29e
block 129 * ff6d8074
block 130 * ff14121d
block 131 * 2d8a8171
block 132 * 08818181
block 133 * ff51d975
block 134 * ff674d2e
block 135 * ffc3b37b
block 136 * ff9a6e4d
block 137 * ffb2896f
block 138 * ff74ddd7
block 139 * ff7a7a7a
block 139 1 ff677967
block 140 * 31764133
block 141 * 6f158002
block 141 0 0901ab10
block 141 1 0901ab10
block 141 2 1701bb0f
block 141 3 1701bb0f
block 141 4 3600be10
block 141 5 3600be10
block 141 6 3600be10
block 142 * 6922aa24
block 142 0 0901ab10
block 142 1 0901ab10
block 142 2 1701bb0f
block 142 3 1701bb0f
block 142 4 3600be10
block 142 5 3600be10
block 142 6 3600be10
block 143 * ff9c7f4e
block 144 * ff544033
block 145 * ff404040
block 146 * ff9c7f4e
block 147 * fff9ec4e
block 148 * ffdbdbdb
block 149 * ffa59594
block 149 0 ff9c9695
block 149 1 ff9c9695
block 149 2 ff9c9695
block 149 3 ff9c9695
block 149 4 ff9c9695
block 149 5 ff9c9695
block 149 6 ff9c9695
block 149 7 ff9c9695
block 150 * ffa59594
block 151 * ff82745e
block 152 * ffab1b09
block 153 * ff7d544f
block 154 * 6f454545
block 155 * ffece9e2
block 155 1 ffe7e4db
block 155 2 ffe8e5dd
block 155 3 ffe7e3db
block 155 4 ffe7e3db
block 156 * ffece9e2
block 157 * 9b685347
block 157 8 9b8d5146
block 157 9 9b8d5146
block 157 10 9b8d5146
block 157 11 9b8d5146
block 157 12 9b8d5146
block 157 13 9b8d5146
block 157 14 9b8d5146
block 157 15 9b8d5146
block 158 * ff606060
block 158 1 ff565656
block 158 9 ff565656
block 159 0 ffd1b2a1
block 159 1 ffa15325
block 159 2 ff95586c
block 159 3 ff716c89
block 159 4 ffba8523
block 159 5 ff677534
block 159 6 ffa14e4e
block 159 7 ff392a23
block 159 8 ff876a61
block 159 9 ff565b5b
block 159 10 ff764656
block 159 11 ff4a3b5b
block 159 12 ff4d3323
block 159 13 ff4c532a
block 159 14 ff8f3d2e
block 159 15 ff251610
block 160 0 7bffffff
block 160 1 7bd87e32
block 160 2 7bb24bd8
block 160 3 7b6599d8
block 160 4 7be4e432
block 160 5 7b7ecb18
block 160 6 7bf17ea4
block 160 7 7b4b4b4b
block 160 8 7b999999
block 160 9 7b4b7e99
block 160 10 7b7e3eb2
block 160 11 7b324bb2
block 160 12 7b654b32
block 160 13 7b657e32
block 160 14 7b993232
block 160 15 7b181818
block 161 * 9a265f0c
block 162 * ff696359
block 162 0 ff9a5b40
block 162 1 ff4e3e29
block 162 2 ff9a5b40
block 162 3 ff4e3e29
block 162 5 ff342817
block 162 7 ff342817
block 162 9 ff342817
block 162 11 ff342817
block 162 13 ff342817
block 162 15 ff342817
block 163 * ffa95b33
block 164 * ff3d2712
block 165 * ff7e6485
block 166 * ff7800b2
block 167 * fec57912
block 168 * ff894626
block 169 * ff6ec664
block 170 * ff9d7412
block 170 0 ffa88b10
block 170 1 ffa88b10
block 170 2 ffa88b10
block 170 3 ffa88b10
block 171 0 ffdddddd
block 171 1 ffdb7d3e
block 171 2 ffb350bc
block 171 3 ff6a8ac9
block 171 4 ffb1a627
block 171 5 ff41ae38
block 171 6 ffd08499
block 171 7 ff404040
block 171 8 ff9aa1a1
block 171 9 ff2e6e89
block 171 10 ff7e3db5
block 171 11 ff2e388d
block 171 12 ff4f321f
block 171 13 ff35461b
block 171 14 ff963430
block 171 15 ff191616
block 172 * ff965c42
block 173 * ff121212
block 174 * ffa5c2f5
block 175 * 33416d2b
block 175 1 568e9484
block 175 2 8a7a7a7a
block 175 3 9e7b7b7b
block 175 4 b9454003
block 175 5 9336583b
block 176 * ff1c6c5e
block 177 * ff7a9d65
block 178 * 1ebf21fc
block 179 * 1ec3bcd2
block 180 * 49000000
block 181 * ff710504
block 182 * ff5b5855
block 182 1 ff62473f
block 182 2 ff4d5067
block 182 3 ff396c68
block 182 4 ff674845
block 183 * e9660000
block 184 * ff5d6262
block 185 * ff625157
block 186 * ff5d504d
block 187 * ff6c654c
block 188 * ff4b4747
block 188 1 ff473c60
block 188 2 ff564143
block 188 3 ff533f33
block 188 4 ff435157
block 188 5 ff403c3c
block 189 * ff434141
block 190 * ff8c5353
block 191 * ff600f0f
block 192 * ff5b1f1f
block 193 * ab6a6060
block 194 * ff891710
block 195 * ff971209
block 196 * 42771414
block 197 * ffa1312c
block 198 * 435b0202
block 199 * 5d590b05
block 200 * ff5b4303
block 201 * a9080400
block 203 * ff710504
block 204 * ffbd2401
block 205 * ffbd2401
block 206 * ffbd2401
block 207 * ffbd2401
block 209 * ff7c007c
block 210 * ff7c007c
block 211 * ba831aa3
block 212 * 51831aa3
block 213 * ff747e80
block 214 * ff23002c
block 215 * b47b7b7b
block 215 0 ff797171
block 215 7 ff877c6a
block 216 0 ff876c47
block 216 1 ffa49880
block 216 2 ffa49880
block 216 4 ff372b27
block 216 5 ffc0bcaa
block 216 6 ffb6b2a0
block 216 8 ff372b27
block 216 9 ffc0bcaa
block 216 10 ffb6b2a0
block 216 12 ff372b27
block 216 13 ffc0bcaa
block 216 14 ffb6b2a0
block 217 * 9a284474
block 217 0 9a21540b
block 217 2 9a21540b
block 217 4 9a21540b
block 217 6 9a21540b
block 217 8 9a21540b
block 217 10 9a21540b
block 217 12 9a21540b
block 217 14 9a21540b
block 218 0 6d324529
block 218 1 55517a9b
block 218 2 1941664c
block 218 3 2479663a
block 218 4 5f468a68
block 218 5 639f497a
block 219 * ff2d1939
block 219 1 ff382146
block 219 2 ffbc8878
block 220 0 8c34502d
block 220 1 212e3b2a
block 220 2 36353136
block 220 3 4d2f3f2a
block 220 4 932a3028
block 221 0 e8f1b761
block 221 1 e8ecaf5c
block 221 2 6d63625f
block 222 0 ff181323
block 222 1 ff181323
block 222 2 ff484a47
block 222 3 ff4a4747
block 222 4 ff403457
block 222 5 fff0d29e
block 222 6 ff4c4c4c
block 222 7 ff494949
block 222 8 ff181323
block 222 9 ff474747
block 222 10 ff654141
block 223 * b7848484
block 224 * 3c323232
block 224 4 7f45402d
block 224 5 3c444444
block 225 * ff393939
block 225 3 ffcda41e
block 225 4 ffcda41e
block 225 7 5fa1984d
block 225 8 5f59983e
block 225 9 ff423d38
block 225 10 ff423d38
block 225 11 ff423d38
block 225 12 ab453b2f
block 225 13 5f924f71
block 225 15 ffcda41e
block 226 * ff3b2e25
block 226 0 ff453426
block 226 2 ff35292d
block 226 3 ff35292d
block 226 6 ff291c19
block 226 7 ffc7c1ae
block 227 * ff606060
block 227 0 ff414141
block 227 1 ff4c4c4c
block 227 5 ff4f4a37
block 227 8 43838518
block 228 * 43383838
block 228 0 53a97b17
block 228 1 53a97b17
block 228 2 53a97b17
block 228 3 53a97b17
block 228 4 53a97b17
block 228 5 53a97b17
block 229 * ff453426
block 230 * ff453426
block 231 * f7282025
block 232 * df352a26
block 233 * ff453426
block 234 * 2f9ec6f3
block 235 0 5fe3d3b4
block 235 1 5fdf7833
block 235 2 5fb94a9a
block 235 3 5f60789e
block 235 4 5fd2b61f
block 235 5 5f3db427
block 235 6 5fcc7172
block 235 7 5f3f3b32
block 235 8 5f978d78
block 235 9 5f256871
block 235 10 5f74298f
block 235 11 5f232b6d
block 235 12 5f4c2a13
block 235 13 5f374713
block 235 14 5fa92b21
block 235 15 5f1c1714
block 237 * 1270602a
block 237 0 0a6c4e1e
block 237 1 0c6e642f
block 240 15 1d808080
block 241 0 3093c0af
block 241 1 45a37a09
block 241 2 33a132aa
block 241 3 5a3191c7
block 241 4 3e709d1e
block 241 5 5c33b33a
block 241 6 32928056
block 241 7 453e5b36
block 241 8 474f6b47
block 241 9 3c298492
block 241 10 38632567
block 241 11 480a2ea5
block 241 12 334f3b0a
block 241 13 5514580d
block 241 14 558e381a
block 241 15 4c192316
block 242 * ff7a7a7a
block 243 * ffadaa9b
block 243 0 ffccc9b5
block 243 1 ffbcb9a9
block 243 2 ffb4b69b
block 243 3 ffb3b1a2
block 244 * ff4e280b
block 244 0 ff401a0b
block 244 1 ff351509
block 244 2 ff341d09
block 244 3 ff341509
block 244 4 ff2c1207
block 245 * 32317e00
block 246 * ffbbc5c9
block 246 0 ff401a0b
block 246 1 ff401a0b
block 247 * ffccc9b5
block 248 * ffa8a696
block 249 0 3f9b9b9b
block 249 1 3f834d1f
block 249 2 3f6c2e83
block 249 3 3f3e5d83
block 249 4 3f8b8b1f
block 249 5 3f4d7c0f
block 249 6 3f934d64
block 249 7 3f2e2e2e
block 249 8 3f5d5d5d
block 249 9 3f2e4d5d
block 249 10 3f4d266c
block 249 11 3f1f2e6c
block 249 12 3f3e2e1f
block 249 13 3f3e4d1f
block 249 14 3f5d1f1f
block 249 15 3f0f0f0f
block 250 * ffd565ee
block 250 0 ff61dbd5
block 250 1 ff4dc724
block 251 * ff6246b2
block 252 * ffaeac9b
block 253 0 638b8b8b
block 253 1 6376451b
block 253 2 63612976
block 253 3 63375376
block 253 4 637d7d1b
block 253 5 63456f0e
block 253 6 6383455a
block 253 7 63292929
block 253 8 63535353
block 253 9 63294553
block 253 10 63452261
block 253 11 631b2961
block 253 12 6337291b
block 253 13 6337451b
block 253 14 63531b1b
block 253 15 630e0e0e
block 254 * ff929082
block 255 * ffb2877a
block 255 0 ff939082
block 409 * ff302a6b
block 410 * ff261006
block 411 * 633d3d3d
block 412 * ffc9bb61
block 413 * ff666e71
block 413 0 ff1f0c05
block 414 * 3f032814
block 415 * ffd565ee
block 415 0 ff499bda
block 415 1 ff4dc724
block 416 * 63ccbda2
block 423 0 3093c0af
block 423 1 45a37a09
block 423 2 33a132aa
block 423 3 5a3191c7
block 423 4 3e709d1e
block 423 5 5c33b33a
block 423 6 32928056
block 423 7 453e5b36
block 423 8 474f6b47
block 423 9 3c298492
block 423 10 38632567
block 423 11 480a2ea5
block 423 12 334f3b0a
block 423 13 5514580d
block 423 14 558e381a
block 423 15 4c192316
block 424 * ff4b465c
block 424 0 ff351609
block 424 1 ffaabcbe
block 425 * ff2d2206
block 425 0 ff301408
block 426 * ffc2cac6
block 426 0 ffbbc5c9
block 426 1 ffa4b1b6
block 426 2 ff9caeab
block 426 3 ffa3b0b5
block 426 4 ff92a2a8
block 427 * ff75c968
block 428 * 2cff00a9
block 429 * 8a1f4e0a
block 431 * ff3b574b
block 431 0 ff6aaa96
block 431 1 ff63a08f
block 432 * ffacc7be
block 433 * ff866043
block 433 2 ff5a3f1c
block 434 * ff965c42
block 436 * ff96be6a
block 436 0 ff98b677
block 436 1 ff98b677
block 436 2 ff98b677
block 436 3 ff98b677
block 437 * ffb89c12
block 438 * ffbdc0e3
block 438 0 ff511d1d
block 438 1 ff432a1b
block 438 2 ffdde7e7
block 438 3 ff86523b
block 438 4 ffa9aee4
block 438 5 ffb0b4e3
block 438 6 ffb4b8e3
block 438 7 ffaeb3e4
block 438 8 ffb2b6e3
block 438 9 ffb4b8e4
block 438 10 ffaeb3e3
block 438 13 ffc4c6e3
block 438 14 ffb4b8e3
block 438 15 ff989fe4
block 439 * ff607b64
block 439 0 ff578066
block 440 * 6f8f088d
block 441 * ffa36554
block 442 * 36b0fcff
block 443 * ff401a0b
block 444 * ff351509
block 445 * ffccc9b5
block 446 * ffbcb9a9
block 447 * ffbbc5c9
block 448 * ffa4b1b6
block 449 * ff98b677
block 450 * ffb89c12
block 451 * ff6aaa96
block 452 * ff63a08f
block 453 * ff3b574b
block 454 * ff511d1d
block 455 * ff432a1b
block 456 * ffdde7e7
block 457 * ff86523b
block 458 * ff11141a
block 458 1 ff171a23
block 458 2 ff161921
block 458 3 ff171b23
block 458 4 ff171b23
block 459 * ff11141a
block 460 * ffc3e0ec
block 460 1 ffbbdce9
block 460 2 ffbeddea
block 460 3 ffbbdce9
block 460 4 ffbbdce9
block 461 * ffc3e0ec
block 462 * fffee3d0
block 462 1 fffddcc5
block 462 2 fffddec9
block 462 3 fffddcc5
block 462 4 fffddcc5
block 463 * fffee3d0
block 464 * ffefe0ff
block 464 1 ffebd8ff
block 464 2 ffeddbff
block 464 3 ffebd8ff
block 464 4 ffebd8ff
block 465 * ffefe0ff
block 466 * ffffd2d2
block 466 1 ffffc7c7
block 466 2 ffffcbcb
block 466 3 ffffc7c7
block 466 4 ffffc7c7
block 467 * ffffd2d2
block 468 * ffd6f7d7
block 468 1 ffcdf6cd
block 468 2 ffd0f6d1
block 468 3 ffccf5cd
block 468 4 ffccf5cd
block 469 * ffd6f7d7
block 470 * ff11141a
block 471 * ff11141a
block 472 * ffc3e0ec
block 473 * ffc3e0ec
block 474 * fffee3d0
block 475 * fffee3d0
block 476 * ffefe0ff
block 477 * ffefe0ff
block 478 * ffffd2d2
block 479 * ffffd2d2
